full_name,pushed_at,visibility,note
JinnZ2/drift-archive-audit,2026-09-22,public,this audit
JinnZ2/Simulators,2026-09-22,public,
JinnZ2/simulation,2026-09-22,public,
JinnZ2/Keystone-Codex,2026-09-22,public,PILOT
JinnZ2/decision-aperture,2026-09-22,public,
JinnZ2/assumption_validator,2026-09-22,public,
JinnZ2/method-layer,2026-09-22,public,
JinnZ2/curly-octo-happiness,2026-09-21,public,
JinnZ2/Geometric-manifold-,2026-09-21,public,
JinnZ2/vibe-code-audit,2026-09-20,public,
JinnZ2/chain-position-detectability,2026-09-20,public,
JinnZ2/gods-eye-view-fork,2026-09-20,public,fork
JinnZ2/Geometric-to-Binary-Computational-Bridge,2026-09-20,public,
JinnZ2/Antarctic-basin-dynamics,2026-09-16,public,
JinnZ2/earth-systems-physics,2026-09-16,public,
JinnZ2/Sovereign-Octahedral-Mandala-Substrate-SOMS-,2026-09-14,public,handle:mandala+octahedral
JinnZ2/ai-human-audit-protocol,2026-09-13,public,
JinnZ2/GlyphAI,2026-09-09,public,handle:glyph
JinnZ2/framework-instruments,2026-09-07,public,
JinnZ2/Nexus-emergency-management,2026-09-07,public,
JinnZ2/Cross-Domain-Toolkit,2026-09-06,public,
JinnZ2/gap-quantification-protocol,2026-09-04,private,
JinnZ2/hands-lie-detector,2026-08-30,public,
JinnZ2/interdisciplinary-studies,2026-08-26,public,
JinnZ2/Academic-Translator,2026-08-26,public,translation-layer
JinnZ2/4D-language-lens,2026-08-26,public,translation-layer
JinnZ2/PatternBridge,2026-08-26,public,
JinnZ2/Rosetta-Shape-Core,2026-08-25,public,handle:rosetta
JinnZ2/electromagnetic-ocean-restoration,2026-08-25,public,
JinnZ2/urban-resilience-sim,2026-08-25,public,
JinnZ2/planetary-conservation-framework,2026-08-25,public,
JinnZ2/Resilience-indigenous-worldwide,2026-08-25,public,
JinnZ2/shape-index,2026-08-25,public,
JinnZ2/Emotions-as-Sensors,2026-08-21,public,PILOT
JinnZ2/infrastructure-stability-model,2026-08-21,public,
JinnZ2/JinnZ2,2026-08-21,public,profile README / declared parent frame / C-7 GATED
JinnZ2/AI-Consciousness-Sensors,2026-08-21,public,in scope, not selected, unsearched
JinnZ2/Resilience-hydrology-core,2026-08-21,public,
JinnZ2/Non-equilibrium-atmospheric-forcing,2026-08-21,public,
JinnZ2/geometric-optimization,2026-08-17,public,
JinnZ2/DIY-CNC,2026-08-17,public,C-6 physical referent candidate
JinnZ2/BioGrid2.0,2026-08-17,public,fieldlink hub named by other repos
JinnZ2/Fulgerite-Antenna-Prototype-,2026-08-17,public,physical referent
JinnZ2/CEED,2026-08-17,public,
JinnZ2/Infrastructure-assistance,2026-08-17,public,
JinnZ2/hgai-geometric-systems,2026-08-17,public,
JinnZ2/metabolic-accounting,2026-08-17,public,
JinnZ2/HAAS,2026-08-17,public,
JinnZ2/open-source-plastic-lab,2026-08-17,public,physical referent
JinnZ2/Noise-as-Information-Sensor,2026-08-17,public,
JinnZ2/Permeable-intelligence-commons,2026-08-17,public,
JinnZ2/Mathematical-collapse-prevention-model,2026-08-17,public,
JinnZ2/Plain-English-Translator,2026-08-17,public,translation-layer
JinnZ2/Voice-Integrity-Module,2026-08-17,public,
JinnZ2/Mathematic-economics,2026-08-17,public,
JinnZ2/PhysicsGuard,2026-08-17,public,
JinnZ2/substrate-phycom,2026-08-17,public,handle:substrate
JinnZ2/Logic-Ferret,2026-08-17,public,
JinnZ2/trust-exit-model,2026-08-17,public,
JinnZ2/Bio-Grid-American-Manufacturing-,2026-08-17,public,PILOT
JinnZ2/Nuclear-Donut-DataCenter,2026-08-17,public,
JinnZ2/tool-off-metrology,2026-08-17,public,C-6 physical referent candidate / handle:metrology
JinnZ2/Coop-framework,2026-08-14,public,
JinnZ2/geometric-to-binary,2026-08-13,private,
JinnZ2/Resilient-AI-Human-Collaboration-,2026-08-13,public,
JinnZ2/biomachine_ecology,2026-08-13,public,
JinnZ2/Component-failure-repurposing-database,2026-08-13,public,
JinnZ2/Cyclic-programming,2026-08-13,public,fieldlink source of Emotions
JinnZ2/thermodynamic-accountability-framework,2026-08-13,public,
JinnZ2/Municipal-Code-Translator,2026-08-12,public,translation-layer
JinnZ2/Mandala-Computing,2026-08-12,public,handle:mandala
JinnZ2/fairmont-ecological-recovery,2026-08-12,public,
JinnZ2/Polyhedral-Intelligence,2026-08-06,public,handle:polyhedral
JinnZ2/AI-arena,2026-08-05,public,
JinnZ2/Seed-physics,2026-07-15,public,
JinnZ2/Living-Intelligence-Database,2026-07-08,public,
JinnZ2/differential-frame-core,2026-06-15,public,handle:differential-frame (agent-era-only)
JinnZ2/Adaptive-Intelligence-Framework-,2026-06-07,public,
JinnZ2/Regenerative-intelligence-core,2026-05-14,public,
JinnZ2/Inversion,2026-05-01,public,fieldlink source of Emotions
JinnZ2/experiments,2026-05-01,private,
JinnZ2/Combine-Cognitive-Architecture-,2026-04-28,public,
JinnZ2/Shadow-Hunting,2026-04-23,public,
JinnZ2/orbital-phycom,2026-04-14,public,
JinnZ2/TRDAP,2026-04-09,public,
JinnZ2/The-Curriculum-of-Everything-Earth-,2026-04-09,public,
JinnZ2/Resilience,2026-04-08,public,
JinnZ2/Fractal_Compass_Core,2026-03-28,public,handle:fractal
JinnZ2/Universal-Redesign-Algorithm-,2026-03-28,public,
JinnZ2/Fractal-Compass-Atlas,2026-03-28,public,handle:fractal
JinnZ2/BE2-communication,2026-03-27,public,
JinnZ2/Study-on-Nazca-Lines,2026-03-25,public,
JinnZ2/SymbolicSentinel,2026-03-25,public,handle:symbolic
JinnZ2/Symbolic-sensor-suite,2026-03-24,public,handle:symbolic
JinnZ2/temporal-consciousness-playground,2026-03-24,public,
JinnZ2/YouTube-Wisdom-Lens,2026-03-24,public,possible other-carrier rendering
JinnZ2/Symbolic-Defense-Protocol,2026-03-24,public,handle:symbolic
JinnZ2/Prosthetic-arm-CNC,2026-03-23,public,C-6 physical referent candidate
JinnZ2/Logistics-Disparity-Sensor,2026-03-22,public,
JinnZ2/Hardware-Store,2026-03-22,public,OLDEST pushed_at in snapshot - truncation floor
